pop,unit_id,unit_name,lat,lon
387,2011611,Alabama Birmingham,33.5207,-86.8025
301,2011042,Alaska Anchorage,61.2181,-149.9003
314,1812971,Arizona Gilbert,33.294207,-111.7379465
328,387983,Arizona Mesa,33.436188,-111.5860661
331,2011115,Arizona Phoenix,33.4467681,-112.0756724
350,1812998,Arizona Scottsdale,33.5091215,-111.8992365
340,2011050,Arizona Tempe,33.4144139,-111.9094474
362,2012596,Arizona Tucson,32.2217,-110.9265
420,2013185,Arkansas Bentonville,36.302283,-94.28158895
391,2011069,Arkansas Little Rock,34.7464809,-92.2895948
336,2011301,California Anaheim,33.8347516,-117.911732
333,2011166,California Arcadia,34.1362075,-118.0401497
335,1985744,California Bakersfield,35.3738712,-119.0194639
340,2010283,California Carlsbad,33.1580933,-117.3505939
341,2011360,California Fresno,36.7394421,-119.7848307
324,1987232,California Irvine,33.6856969,-117.8259819
358,2013657,California Long Beach,33.7774658,-118.1884871
380,2011107,California Los Angeles,34.053717,-118.2427266
275,2040174,California Modesto,37.6390972,-120.9968782
368,2011131,California Oakland/San Francisco,37.7792768,-122.4192704
342,1985701,California Rancho Cucamonga,34.1063989,-117.5931084
330,2011735,California Redlands,34.072662,-117.0934169
338,2012618,California Riverside,33.9533546,-117.3961623
344,2010194,California Roseville,38.72338,-121.1858782
311,2011204,California Sacramento,38.5815719,-121.4943996
425,2011352,California San Diego,32.7174209,-117.1627714
300,2010380,California San Fernando,10.2906,-61.4494
344,2011549,California San Jose,37.3438502,-121.8831349
331,2012014,California Santa Rosa,38.4404,-122.7141
336,2011514,California Ventura,34.302548,-119.2072845
328,381713,Colorado Colorado Springs,38.8339578,-104.8253485
327,2010208,Colorado Denver North,39.868,-104.9719
309,2013908,Colorado Denver South,39.5807,-104.8772
320,1985841,Colorado Fort Collins,40.5508527,-105.0668085
380,2012103,Florida Fort Lauderdale,26.1223084,-80.1433786
378,2012197,Florida Jacksonville,30.3321838,-81.655651
410,2013649,Florida Orlando,28.5421175,-81.3790462
408,2011034,Florida Tallahassee,30.4380832,-84.2809332
294,2011220,Florida Tampa,27.9477595,-82.458444
409,2013207,Georgia Atlanta,33.7490987,-84.3901849
364,420263,Georgia Atlanta North,33.9304,-84.3733
386,2012626,Georgia Macon,32.8406946,-83.6324022
466,2012405,Hawaii Honolulu,21.3069,-157.8583
359,2012154,Idaho Boise,43.5988375,-116.243255
351,1986139,Idaho Nampa,43.5737361,-116.559642
230,2013010,Idaho Pocatello,42.8688613,-112.4401098
281,1986112,Idaho Idaho Falls,43.4930789,-112.044349
330,2010593,Illinois Chicago,41.8755546,-87.6244212
341,1985884,Illinois Chicago West,41.8847507,-88.2039607
345,367788,Illinois Nauvoo,40.55,-91.3849
397,2012200,Indiana Indianapolis,39.7683331,-86.1583502
395,2011328,Iowa Des Moines,41.5910641,-93.6037149
385,1941836,Kansas Wichita,37.6922361,-97.3375448
406,2011808,Kentucky Louisville,38.2542376,-85.759407
327,2012308,Louisiana Baton Rouge,30.4507462,-91.154551
433,2010402,Maryland Baltimore,39.985914,-78.7727984
474,2011018,Massachusetts Boston,42.3604823,-71.0595678
305,2011581,Michigan Detroit,42.3486635,-83.0567375
349,2012731,Michigan Lansing,42.7337712,-84.5553805
396,2012707,Minnesota Minneapolis,44.9772995,-93.2654692
342,2011700,Mississippi Jackson,32.2990384,-90.1847691
421,2011506,Missouri Independence,37.2242358,-95.7083131
374,2011468,Missouri St Louis,38.6272733,-90.1978889
381,2013703,Montana Billings,45.7874957,-108.49607
407,2010216,Nebraska Omaha,41.2587317,-95.9378732
365,2013800,Nevada Las Vegas,36.2008371,-115.1120958
313,2010577,Nevada Las Vegas West,36.1662859,-115.149225
325,1480588,Nevada Reno,39.5296,-119.8138
379,2012189,New Hampshire Manchester,42.9956,-71.4548
400,2012138,New Jersey Morristown,40.7968,-74.4815
377,2010992,New Mexico Albuquerque,35.0841034,-106.6509851
397,1191624,New Mexico Farmington,36.7304288,-108.2089191
395,2010275,New York New York North,40.7831,-73.9712
415,2012006,New York New York South,40.5795,-74.1502
275,2011603,New York Rochester,43.1854754,-77.61068605
369,2010410,New York Utica,43.1009031,-75.2326641
